Year,Month,Consumption_GWh
2004,March,18476.0
2004,April,17524.0
2004,May,18909.0
2004,June,19337.0
2004,July,20156.0
2004,August,19265.0
2004,September,18362.0
2004,October,18714.0
2004,November,18314.0
2004,December,17754.0
2005,January,18149.0
2005,February,17169.0
2005,March,18487.0
2005,April,18132.0
2005,May,19224.0
2005,June,18983.0
2005,July,19657.0
2005,August,19191.0
2005,September,18383.0
2005,October,19127.0
2005,November,18523.0
2005,December,18230.0
2006,January,18603.0
2006,February,17396.0
2006,March,18982.0
2006,April,18122.0
2006,May,20312.0
2006,June,20166.0
2006,July,20632.0
2006,August,20307.0
2006,September,18987.0
2006,October,19663.0
2006,November,19244.0
2006,December,18909.0
2007,January,19561.0
2007,February,18301.0
2007,March,20160.0
2007,April,18982.0
2007,May,20901.0
2007,June,21020.0
2007,July,21780.0
2007,August,21353.0
2007,September,19732.0
2007,October,20435.0
2007,November,19785.0
2007,December,19160.0
2008,January,19256.0
2008,February,18668.0
2008,March,19603.0
2008,April,19127.0
2008,May,20365.0
2008,June,20515.0
2008,July,21610.0
2008,August,20736.0
2008,September,19725.0
2008,October,20138.0
2008,November,18640.0
2008,December,17541.0
2009,January,17919.0
2009,February,16757.0
2009,March,18694.0
2009,April,17934.0
2009,May,19548.0
2009,June,19819.0
2009,July,21151.0
2009,August,20398.0
2009,September,19382.0
2009,October,19899.0
2009,November,19248.0
2009,December,18850.0
2010,January,19668.22266315407
2010,February,18767.280780845238
2010,March,21203.662680822672
2010,April,20654.220661558484
2010,May,22000.59210337324
2010,June,22468.731072374234
2010,July,23052.76294705904
2010,August,22217.57038462237
2010,September,21020.598654092286
2010,October,21470.922898857872
2010,November,21000.0
2010,December,19623.632819857754
2011,January,20555.33587418101
2011,February,19461.848010322632
2011,March,21698.898465926315
2011,April,20689.86784390518
2011,May,22183.94113337726
2011,June,22164.19977269401
2011,July,22429.610287499105
2011,August,21853.09645842332
2011,September,20795.745113522193
2011,October,21409.697329600953
2011,November,20948.699688618843
2011,December,20340.304961865015
2012,January,20856.54385679109
2012,February,19909.973075595564
2012,March,20800.376749521587
2012,April,19573.958625581072
2012,May,21061.139335512646
2012,June,21490.43969534061
2012,July,21987.579859940975
2012,August,21565.69993827492
2012,September,20245.999973962353
2012,October,20577.779988108803
2012,November,20591.559994653366
2012,December,19563.35999771756
2013,January,19991.599998951984
2013,February,18542.579999563226
2013,March,20354.119999784572
2013,April,19887.71999990542
2013,May,21190.45999995472
2013,June,21486.19999997937
2013,July,22386.13999999034
2013,August,21930.339999995747
2013,September,20427.25999999822
2013,October,20982.69999999918
2013,November,20123.039999999648
2013,December,19856.979999999843
2014,January,20624.41999999993
2014,February,18992.019999999968
2014,March,20579.899999999983
2014,April,20028.699999999993
2014,May,21101.42
2014,June,21084.459999999995
2014,July,21900.66
2014,August,21468.18
2014,September,20593.68
2014,October,21068.56
2014,November,20249.18
2014,December,19851.68
2015,January,20630.780000000002
2015,February,19109.68
2015,March,21158.66
2015,April,19828.36
2015,May,20755.86
2015,June,20944.54
2015,July,21543.440000000002
2015,August,20309.600000000002
2015,September,19829.420000000002
2015,October,20503.58
2015,November,19755.22
