Year,Month,Consumption_GWh
2016,April,418.6213770670643
2016,May,424.8800061763959
2016,June,439.76064366107465
2016,July,464.5794542070306
2016,August,478.6711938331998
2016,September,438.7401501102029
2016,October,432.91663877216257
2016,November,448.3484996582308
2016,December,486.98634180944595
2017,January,556.5981325146536
2017,February,523.2931806574392
2017,March,495.858518310249
2017,April,484.0117525620362
2017,May,490.64108008071975
2017,June,512.1579182577843
2017,July,548.5589137820921
2017,August,558.0982830598764
2017,September,515.5307491202774
2017,October,504.29804795761646
2017,November,518.9212453977977
2017,December,557.7060661312187
2018,January,595.6231573723379
2018,February,563.5291439913439
2018,March,535.5299589028866
2018,April,517.9275824606484
2018,May,525.0384733817133
2018,June,554.7989706510084
2018,July,573.1014634552389
2018,August,594.1741804268627
2018,September,543.5708298395036
2018,October,533.7768874903654
2018,November,555.9022820518925
2018,December,599.8622232293792
2019,January,563.2522774298229
2019,February,536.0310547572475
2019,March,513.1346965919049
2019,April,494.1825444123082
2019,May,501.42183288390737
2019,June,523.1262701312812
2019,July,548.0566594472664
2019,August,571.8469500100252
2019,September,526.8821463301524
2019,October,507.5391703225925
2019,November,527.3043832027203
2019,December,569.168248319325
2020,January,611.5915816421881
2020,February,579.0740272625898
2020,March,550.8342268968165
2020,April,535.5354039594121
2020,May,543.1622583257224
2020,June,560.8794169661335
2020,July,590.5687418143127
2020,August,607.802182754267
2020,September,560.737246950612
2020,October,556.1142710373266
2020,November,571.9356049865271
2020,December,612.8800765566076
2021,January,555.6272331863063
2021,February,534.4330169443983
2021,March,506.62621518156567
2021,April,482.7007743639769
2021,May,488.2232324148719
2021,June,514.6247153899996
2021,July,536.974975999192
2021,August,559.7809998015845
2021,September,512.47517520264796
2021,October,499.9750816945057
2021,November,518.0667973712733
2021,December,588.4814497542942
2022,January,638.3120593666752
2022,February,606.7118022652874
2022,March,577.6618345719836
2022,April,531.859311187281
2022,May,535.4282145056479
2022,June,572.2970507406847
2022,July,592.2580462960882
2022,August,611.6899500793972
2022,September,553.8867539642134
2022,October,542.2201243360812
2022,November,560.6809596087071
2022,December,605.50031491999
2023,January,610.2409434846679
2023,February,581.3456534319325
2023,March,550.7946966785252
2023,April,533.7227262468853
2023,May,541.3697583154806
2023,June,568.3463250034914
2023,July,599.0655806734717
2023,August,613.9152564847237
2023,September,567.2964556621833
2023,October,557.7371266509118
2023,November,568.9784924448211
2023,December,619.8088043031464
